s,10분전부산대강수량,현재부산대강수량,10분전신천교강수량,현재신천교강수량,현재세병교수위,30분뒤수위,날짜
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.96,2014-02-16 17:30
1.16,1.15626864,1.15268244,1.1494272,1.14656224,1.1440878,1.16,2015-04-09 14:10
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.04,2014-02-27 9:40
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.11,2016-10-03 22:00
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1.01,2016-11-26 9:30
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.02,2015-08-03 14:10
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2015-08-18 19:30
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.09,2014-06-30 9:50
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.01,2013-02-05 22:40
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.04,2016-08-27 1:30
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.97,2015-10-12 22:20
1.23,1.22405587,1.21828777,1.21299245,1.20825597,1.20410615,1.23,2016-04-23 12:00
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.07,2014-07-07 12:20
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1,2016-08-26 18:50
